1	jose123             	José Augusto                           	joao@antonio.com              	987654              	Rua Foo Casa Bar                        	0	0	3	0.000000	0
2	amandalinda         	Amanda Nunes                            	karol@diego.com               	987654              	Rua Foo 2 Casa Bar                      	3	1	3	0.000000	0
3	bnpyngf             	José Antônio                          	vkoyfpel@hreidlr.com          	jauqduqdlqge        	Rua Foo Casa Bar                        	0	0	3	0.000000	0
4	auagbptzqoictp      	José Antônio                          	pcseyyu@vekhanew.com          	mlfibw              	Rua Foo Casa Bar                        	0	0	3	0.000000	0
5	vuifmat             	José Antônio                          	mgsy@kqlcsuoa.com             	wcmdlcy             	Rua Foo Casa Bar                        	0	0	3	0.000000	0
6	euvdjgennwyw        	José Antônio                          	mlpb@nzszzlxk.com             	povatnqbdgnm        	Rua Foo Casa Bar                        	0	0	3	0.000000	0
7	yhefvrha            	José Antônio                          	fehoa@fnebsubz.com            	earwbrat            	Rua Foo Casa Bar                        	0	0	3	0.000000	0
8	hsmpjxooxuhqiechew  	José Antônio                          	kcejp@vlabx.com               	skuaat              	Rua Foo Casa Bar                        	0	0	3	0.000000	0
9	lyhwfoxpjazswxe     	José Antônio                          	yukxva@yusgh.com              	vptwyyyzht          	Rua Foo Casa Bar                        	0	0	3	0.000000	0
10	cndkbrwmkpnn        	José Antônio                          	ebyi@ijca.com                 	zzlggn              	Rua Foo Casa Bar                        	0	0	3	0.000000	0
11	skgccwrdlrbtmpozaf  	José Antônio                          	aukbrist@qstxlxml.com         	thfgabknjmqmns      	Rua Foo Casa Bar                        	0	0	3	0.000000	0
12	bguhlpkvfxe         	José Antônio                          	wnaaut@nlhutul.com            	hqntdlwexvvykuke    	Rua Foo Casa Bar                        	0	0	3	0.000000	0
13	jafraobsxptfrgny    	José Antônio                          	wsxhanu@msdqyy.com            	zrgpclomovlzc       	Rua Foo Casa Bar                        	0	0	3	0.000000	0
14	djhjzvyxalaeoj      	José Antônio                          	grppzp@kgtfyijr.com           	tspcywj             	Rua Foo Casa Bar                        	0	0	3	0.000000	0
15	teeudqbnnfstkete    	José Antônio                          	syiulkm@qspnrl.com            	orkrlxlr            	Rua Foo Casa Bar                        	0	0	3	0.000000	0
16	iqkqlxf             	José Antônio                          	gcua@wddxr.com                	siasyqnqmmfgih      	Rua Foo Casa Bar                        	0	0	3	0.000000	0
17	clfr                	José Antônio                          	bshwkt@sezm.com               	njbkrazewg          	Rua Foo Casa Bar                        	0	0	3	0.000000	0
18	gpqcywq             	José Antônio                          	kqwtvo@jldsdkq.com            	bcvrjcy             	Rua Foo Casa Bar                        	0	0	3	0.000000	0
19	hsakjjpmllbweivdt   	José Antônio                          	uzpcz@czmmep.com              	oxvdxhepscw         	Rua Foo Casa Bar                        	0	0	3	0.000000	0
20	xjyujrvtdgile       	José Antônio                          	nnczfgnd@fzmlm.com            	cypvritqda          	Rua Foo Casa Bar                        	0	0	3	0.000000	0
21	vgecqhvnzqnkuowj    	José Antônio                          	hoib@xjxknegt.com             	vuggs               	Rua Foo Casa Bar                        	0	0	3	0.000000	0
22	smawttudtoeseixrp   	José Antônio                          	qlhhjx@leyuuqw.com            	szredurcftswleipul  	Rua Foo Casa Bar                        	0	0	3	0.000000	0
23	byqjdslrpwvi        	José Antônio                          	zyix@clgxyza.com              	ytocmsldwwcrmi      	Rua Foo Casa Bar                        	0	0	3	0.000000	0
24	dxzugs              	José Antônio                          	meqbrpqt@nfohqxy.com          	qokzhss             	Rua Foo Casa Bar                        	0	0	3	0.000000	0
25	esxxwvzpvfsrwwnlh   	José Antônio                          	jokm@cvloip.com               	qemspf              	Rua Foo Casa Bar                        	0	0	3	0.000000	0
26	dhptxdhlapm         	José Antônio                          	ujrvu@lepl.com                	znkbjtg             	Rua Foo Casa Bar                        	0	0	3	0.000000	0
27	uoxuiovcapqvztbzf   	José Antônio                          	eqbwpbxe@suhm.com             	assjhwtfetb         	Rua Foo Casa Bar                        	0	0	3	0.000000	0
28	flnfqgolbqkksxfu    	José Antônio                          	zowcuonl@wrnr.com             	mziolhgdj           	Rua Foo Casa Bar                        	0	0	3	0.000000	0
29	svsgicwkyczg        	José Antônio                          	qybyf@ipfvyhtv.com            	lzslsjiexbzcai      	Rua Foo Casa Bar                        	0	0	3	0.000000	0
30	mnxrhaghdolpvyeo    	José Antônio                          	cboxznm@nslp.com              	rjehzliiwjdra       	Rua Foo Casa Bar                        	0	0	3	0.000000	0
31	nkkoovatpec         	José Antônio                          	qrzvhsk@lezseb.com            	nsegdthhcbn         	Rua Foo Casa Bar                        	0	0	3	0.000000	0
32	ulpeezqifpwuxkon    	José Antônio                          	kssr@ckmiglme.com             	qcablfwq            	Rua Foo Casa Bar                        	0	0	3	0.000000	0
33	weovmos             	José Antônio                          	ayzz@cidw.com                 	wbvw                	Rua Foo Casa Bar                        	0	0	3	0.000000	0
34	umnlntztstoa        	José Antônio                          	prxcfqr@ugrk.com              	udppfzkgjs          	Rua Foo Casa Bar                        	0	0	3	0.000000	0
35	ddnuiqxqvfujspnkl   	José Antônio                          	bdjufzh@hryrybd.com           	qodo                	Rua Foo Casa Bar                        	0	0	3	0.000000	0
36	pghnrlwzennxdcaah   	José Antônio                          	yohmqbs@bgosfo.com            	kimaihbujadl        	Rua Foo Casa Bar                        	0	0	3	0.000000	0
37	orhyshulumkoibow    	José Antônio                          	icalsmzn@soau.com             	sxpd                	Rua Foo Casa Bar                        	0	0	3	0.000000	0
38	vaspjq              	José Antônio                          	gkppgkh@yjjvjxu.com           	qgel                	Rua Foo Casa Bar                        	0	0	3	0.000000	0
39	csufxmfc            	José Antônio                          	onvawnps@rqaaxlgj.com         	kocgjyjsxspcaoei    	Rua Foo Casa Bar                        	0	0	3	0.000000	0
40	maxjk               	José Antônio                          	euswaxu@mlgi.com              	jujclp              	Rua Foo Casa Bar                        	0	0	3	0.000000	0
41	uhdahqon            	José Antônio                          	ptfb@lciqvuy.com              	qiznzfo             	Rua Foo Casa Bar                        	0	0	3	0.000000	0
42	kzzfzf              	José Antônio                          	tcsqlphq@qmggwm.com           	kaybsie             	Rua Foo Casa Bar                        	0	0	3	0.000000	0
43	zuyl                	José Antônio                          	toca@yrtopfuu.com             	rlrltqg             	Rua Foo Casa Bar                        	0	0	3	0.000000	0
44	sfyrps              	José Antônio                          	tzhiobxj@kprr.com             	wxkvaxfvhjfaldzbpk  	Rua Foo Casa Bar                        	0	0	3	0.000000	0
45	befjsdzyasmld       	José Antônio                          	lccz@clzac.com                	axhuttksurt         	Rua Foo Casa Bar                        	0	0	3	0.000000	0
46	yxtrkmvagilch       	José Antônio                          	wqmo@mafrzvtc.com             	vozyvecjszmeigbbw   	Rua Foo Casa Bar                        	0	0	3	0.000000	0
47	zmrodwwggfcwaqf     	José Antônio                          	yegctiog@jjdlxyk.com          	sqqkjindkxjozmuhbi  	Rua Foo Casa Bar                        	0	0	3	0.000000	0
48	fednscx             	José Antônio                          	uibt@uiagyrxh.com             	tnmwkmhlapcaymgbr   	Rua Foo Casa Bar                        	0	0	3	0.000000	0
49	ghthxjvbeceusth     	José Antônio                          	mryhiwpg@hslqn.com            	arlzizvdv           	Rua Foo Casa Bar                        	0	0	3	0.000000	0
50	pqmr                	José Antônio                          	wsewasmh@ndsgpr.com           	cmfqregimn          	Rua Foo Casa Bar                        	0	0	3	0.000000	0
51	fdviarkurco         	José Antônio                          	jhikn@wsdj.com                	bwtiyvo             	Rua Foo Casa Bar                        	0	0	3	0.000000	0
52	khrlh               	José Antônio                          	olpooy@gjeut.com              	lirxzrgbtrr         	Rua Foo Casa Bar                        	0	0	3	0.000000	0
53	adcn                	José Antônio                          	bluljts@hyzcifps.com          	hcrcojvypjstczngc   	Rua Foo Casa Bar                        	0	0	3	0.000000	0
54	vanblabqnu          	José Antônio                          	yjikyhg@wdthjk.com            	wjzln               	Rua Foo Casa Bar                        	0	0	3	0.000000	0
55	ymluyiujhqsykmudeq  	José Antônio                          	wfxf@meiyyx.com               	astmtqknbmitqtp     	Rua Foo Casa Bar                        	0	0	3	0.000000	0
56	kockgmdufbhumlx     	José Antônio                          	gnuwafs@yvxttci.com           	phdpfcdnpok         	Rua Foo Casa Bar                        	0	0	3	0.000000	0
57	uemqu               	José Antônio                          	jengusce@mdob.com             	nwyqymfgn           	Rua Foo Casa Bar                        	0	0	3	0.000000	0
58	prprcfgyfddqrbgoqu  	José Antônio                          	yjik@fcszverp.com             	ufpdza              	Rua Foo Casa Bar                        	0	0	3	0.000000	0
59	fggvcgffslntbaverc  	José Antônio                          	xnvysj@jsew.com               	zzkpvolyt           	Rua Foo Casa Bar                        	0	0	3	0.000000	0
60	olqinjflbkrnsv      	José Antônio                          	swcvqylz@gnbyj.com            	zostwjegnv          	Rua Foo Casa Bar                        	0	0	3	0.000000	0
61	uixhrxuibiiw        	José Antônio                          	amjffma@iifz.com              	xssllw              	Rua Foo Casa Bar                        	0	0	3	0.000000	0
62	gyjubd              	José Antônio                          	motaz@jujowgs.com             	hbscaz              	Rua Foo Casa Bar                        	0	0	3	0.000000	0
63	zesailzbmnijlffx    	José Antônio                          	aiql@emblr.com                	tploh               	Rua Foo Casa Bar                        	0	0	3	0.000000	0
64	kqdyr               	José Antônio                          	ktwnssns@odlb.com             	ufidemswhlkpjgvrj   	Rua Foo Casa Bar                        	0	0	3	0.000000	0
